,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
10,Panti YPLB Nusantara (Yayasan Pendidikan Luar Biasa),Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],27,01 Jan 1970,03 Mar 2023,Bapak Sujono,"Jalan Sempu 1 No 7 - 8, RT.06/RW.04, Beji, Kota Depok, Jawa Barat 16421, Indonesia",Berdiri pada tanggal 2 Oktober 1989 merupakan panti yang megasuh anak-anak dan dewasa yang mengalami keterbatasan mental.,"Kebutuhan makan sehari-hari:
- beras, mie, tahu, sayuran, buah2an, dll
",['Makanan'],"Program pokok :
1. Menambah wawasan pengetahuan
2. Membentuk kepribadian anak
3. Meningkatkan keterampilan anak
4. Menggali bakat anak
5. Mengarahkan minat anak sesuai kemampuan

Program rutin :
1. Olahraga bulu tangkis (sabtu minggu)
2. Outing c","['Pendidikan', 'Keterampilan', 'Minat/Bakat']",40.0,105,75.0,30.0,3,3,berdiri tanggal 2 oktober 1989 panti megasuh anak anak dewasa mengalami keterbatasan mental,kebutuhan makan sehari beras mie sayuran buah2an dll,program pokok 1 menambah wawasan pengetahuan 2 membentuk kepribadian anak 3 meningkatkan keterampilan anak 4 menggali bakat anak 5 mengarahkan minat anak sesuai kemampuan program rutin 1 olahraga bulu tangkis sabtu minggu 2 outing c,Panti YPLB Nusantara (Yayasan Pendidikan Luar Biasa) berdiri tanggal 2 oktober 1989 panti megasuh anak anak dewasa mengalami keterbatasan mental kebutuhan makan sehari beras mie sayuran buah2an dll program pokok 1 menambah wawasan pengetahuan 2 membentuk kepribadian anak 3 meningkatkan keterampilan anak 4 menggali bakat anak 5 mengarahkan minat anak sesuai kemampuan program rutin 1 olahraga bulu tangkis sabtu minggu 2 outing c Makanan
11,LKSA Putra Muhammadiyah Darul Ilmi,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,01 Mar 2023,Pimpinan Daerah Muhammadiyah,"JL. KH. Ahmad Dahlan, No. 24, Beji Timur, Beji Tim., Beji, Kota Depok, Jawa Barat 16425",Berdiri sejak tahun 2005,"Perbaikan rumah panti. Karna sudah banyak genteng yang bocor dan merusak kamar anak.
",[''],"Wisata rekreasi 6 bulan sekali
",[''],32.0,32,17.0,15.0,1,1,berdiri 2005,perbaikan rumah panti karna genteng bocor merusak kamar anak,wisata rekreasi 6,LKSA Putra Muhammadiyah Darul Ilmi berdiri 2005 perbaikan rumah panti karna genteng bocor merusak kamar anak wisata rekreasi 6 
12,Panti Assurur,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,Ust. Ahmad Faisal S.Ag,"Jalan HH Gang I No. 63, RT.8/RW.1, Kebon Jeruk, RT.8/RW.1, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Maulid Nabi, Idul Adha (qurban), Lomba Hafidz Quran, Lomba Tilawah, Lomba Mengaji
43 santri, 10 pengurus
pontren.assurur@yahoo.com
",-,[''],,[''],0.0,0,0.0,0.0,1,1,maulid nabi idul adha qurban lomba hafidz quran lomba tilawah lomba mengaji 43 santri 10 pengurus pontren assurur com,,,Panti Assurur maulid nabi idul adha qurban lomba hafidz quran lomba tilawah lomba mengaji 43 santri 10 pengurus pontren assurur com   
13,Istana Yatim Riyadhul Jannah ,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,"Ust. H. Ahmad Riyadh Muchtar, Lc.","Jl. Dedet, Beji Tim., Beji, Kota Depok, Jawa Barat, Indonesia",Berdiri sejak tahun 2011 | istanayatimdepok@gmail.com,"Sembako, biaya pendidikan anak",['Makanan'],"1. Memiliki program tahfidz Al-Quran
2. Muhadharah (sebulan sekali),
3. Nonton bareng film islami/motivasi (setiap bulan),
4. Olahraga bersama, (2 minggu sekali),
5. Tadarus ",[''],8.0,18,18.0,0.0,1,1,berdiri 2011 istanayatimdepok com,sembako biaya pendidikan anak,1 memiliki program tahfidz al quran 2 muhadharah sebulan 3 nonton bareng film islami motivasi 4 olahraga 2 minggu 5 tadarus,Istana Yatim Riyadhul Jannah  berdiri 2011 istanayatimdepok com sembako biaya pendidikan anak 1 memiliki program tahfidz al quran 2 muhadharah sebulan 3 nonton bareng film islami motivasi 4 olahraga 2 minggu 5 tadarus Makanan
14,Yayasan Panti Asuhan Al-Munasharoh (Putra),Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,Hj. Siti Hanini,"Jl. Pondok Cabe V, Pd. Cabe Ilir, Pamulang, Kota Tangerang Selatan, Banten, Indonesia","Berdiri sejak tahun 1986. Dihuni oleh 5 pengurus dan 30 anak (yatim, piatu, yatim piatu, anak terlantar).
Memiliki kegiatan:
- sosial: pengajian mingguan & bulanan
- pendidikan: sekolah formal (SD-SMA)
- ekonomi: kemampuan kerajinan tangan, kaligrafi",Ranjang/tempat tidur.,[''],,[''],30.0,30,30.0,0.0,1,1,berdiri 1986 dihuni 5 pengurus 30 anak yatim piatu yatim piatu anak terlantar memiliki kegiatan sosial pengajian mingguan bulanan pendidikan sekolah formal sd sma ekonomi kemampuan kerajinan tangan kaligrafi,ranjang tidur,,Yayasan Panti Asuhan Al-Munasharoh (Putra) berdiri 1986 dihuni 5 pengurus 30 anak yatim piatu yatim piatu anak terlantar memiliki kegiatan sosial pengajian mingguan bulanan pendidikan sekolah formal sd sma ekonomi kemampuan kerajinan tangan kaligrafi ranjang tidur  
15,Panti Asuhan Tunas Bangsa,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,Baharudin Jon,"Jl. Tembok Raya, Nan Balimo, Tj. Harapan, Kota Solok, Sumatera Barat, Indonesia","Panti Asuhan memiliki 2 kamar utk anak perempuan, 2 kamar utk anak laki2, satu mushola, dan 2 ruang utk belajat",renovasi bangunan,[''],,"['Keagamaan', 'Keterampilan']",40.0,40,20.0,20.0,2,2,panti asuhan memiliki 2 kamar utk anak perempuan 2 kamar utk anak laki2 mushola 2 ruang utk belajat,renovasi bangunan,,Panti Asuhan Tunas Bangsa panti asuhan memiliki 2 kamar utk anak perempuan 2 kamar utk anak laki2 mushola 2 ruang utk belajat renovasi bangunan  
16,Panti Asuhan Al-Munawwar,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,"Rosita, Roslaini dan Ina Rosina","Jl. Haur Jaya III, Kebonpedes, Tanah Sereal, Kota Bogor, Jawa Barat, Indonesia","Panti asuhan yang dikelola oleh Yayasan Al-Munawwar. Jumlah anak sebanyak 27 (yatim, piatu, yatim piatu, dhuafa). 
Rentang pendidikan: paud hingga SMA. 
Bagi yang sudah memasuki jenjang SMA, mereka diarahkan untuk pesantren di Dramaga. 
Pernah bekerjasama dengan IPB dengan diberikan beasiswa kepada anak SMA yang berprestasi untuk meneruskan ke pesantren. ","Peralatan sekolah seperti seragam, kaos kaki, buku dan alat tulis. ",[''],,[''],27.0,27,10.0,17.0,1,1,panti asuhan dikelola yayasan al munawwar anak 27 yatim piatu yatim piatu dhuafa rentang pendidikan paud sma memasuki jenjang sma diarahkan pesantren dramaga bekerjasama ipb beasiswa anak sma berprestasi meneruskan pesantren,peralatan sekolah seragam kaos kaki buku alat tulis,,Panti Asuhan Al-Munawwar panti asuhan dikelola yayasan al munawwar anak 27 yatim piatu yatim piatu dhuafa rentang pendidikan paud sma memasuki jenjang sma diarahkan pesantren dramaga bekerjasama ipb beasiswa anak sma berprestasi meneruskan pesantren peralatan sekolah seragam kaos kaki buku alat tulis  
17,Panti Yatim Indonesia,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,Yayasan Al-Fajar,"Jl. Pemuda, Tanahsareal, Tanah Sereal, Kota Bogor, Jawa Barat, Indonesia","Pihak panti tidak hanya mengelola 15 anak laki-laki yang tinggal di panti, tetapi juga tetap memberikan bantuan kepada anak yatim dan dhuafa yang ada di sekitar daerah panti. Hingga saat ini, terdapat 350 anak yang dikelola oleh Panti Yatim Indonesia cabang Bogor. Untuk anak-anak yang tidak tinggal di panti, bantuan diberikan setiap 3 bulan sekali berupa bantuan biaya sekolah, sembako, peralatan sekolah. ","Peralatan sekolah seperti seragam, buku dan alat tulis, perlengkapan mandi. ",['Infrastruktur'],,['Pendidikan'],15.0,15,15.0,0.0,1,1,panti mengelola 15 anak laki laki tinggal panti bantuan anak yatim dhuafa daerah panti 350 anak dikelola panti yatim indonesia cabang bogor anak anak tinggal panti bantuan 3 bantuan biaya sekolah sembako peralatan sekolah,peralatan sekolah seragam buku alat tulis perlengkapan mandi,,Panti Yatim Indonesia panti mengelola 15 anak laki laki tinggal panti bantuan anak yatim dhuafa daerah panti 350 anak dikelola panti yatim indonesia cabang bogor anak anak tinggal panti bantuan 3 bantuan biaya sekolah sembako peralatan sekolah peralatan sekolah seragam buku alat tulis perlengkapan mandi  Infrastruktur
18,Panti Asuhan Al-Amanah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,02 May 2016,03 Mar 2023,"H. Samuslim, S. Ag / H kokom Darwulan","Jl. Kp. Bedahan No.32, Bedahan, Kec. Sawangan, Kota Depok, Jawa Barat 16519, Indonesia","Lembaga Kesejahteraan Sosial Anak, tahun berdiri pada tahun 2005",sembako utk biaya makan dan pendidikan,"['Makanan', 'Pendidikan']",,['Pendidikan'],10.0,81,40.0,41.0,1,1,lembaga kesejahteraan sosial anak berdiri 2005,sembako utk biaya makan pendidikan,,Panti Asuhan Al-Amanah lembaga kesejahteraan sosial anak berdiri 2005 sembako utk biaya makan pendidikan  Makanan Pendidikan
19,Panti Assaidah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,03 May 2016,02 Mar 2023,Widjaya Ubaidillah,"JL. Raya Kedung Halang, Km 54, Kedung Halang, Cibuluh, Bogor Utara, Kota Bogor, Jawa Barat 16710",Panti ini memiliki visi melahirkan kembali kesempatan sekolah atau pendidikan formal. ,"televisi, lemari pakaian","['Fasilitas', 'Infrastruktur']",,[''],13.0,43,16.0,27.0,1,1,panti memiliki visi melahirkan kesempatan sekolah pendidikan formal,televisi lemari pakaian,,Panti Assaidah panti memiliki visi melahirkan kesempatan sekolah pendidikan formal televisi lemari pakaian  Fasilitas Infrastruktur
20,Panti Muhammadiyah Tanah Abang Sawangan,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],46,11 May 2016,03 Mar 2023,Pak Munheri,"Jl. Abdul Wahab Raya No.76, Kel. Sawangan, Kec. Sawangan, Kota Depok, Jawa Barat 16511, Indonesia","Visi: 
""Mewujudkan pelayanan panti sosial asuhan anak yang optimal sebagai sarana untuk membentuk kepribadian anak yang percaya diri dan mandiri.""  

Misi : 
*Meningkatkan profesionalitas pengasihan. 
*Mewujudkan suasana yang Islami.  
*Menyiapkan anak sebagai kader umat dan bangsa. 
*Menciptakan SDM yang berkualitas.

Kami menyantuni 30 anak (yatim piatu, yatim, piatu & dhuafa). Terdapat 20 anak sebagai penghuni Panti Asuhan, 10 anak tinggal di luar panti asuhan (dalam lingkungan keluarga). 
Jenjang pendidikan mulai SD,SMP, SMA & Perguruan Tinggi.","Bahan pangan, Tempat tidur (20 buah), lemari (20 buah), alat musik ( Hadroh dan Marawis ) ntuk kegiatan esktra, alat kebersihan, sarana dan alat-alat olahraga. Karpet mushola. furnitur sekretariat panti asuhan, biaya renovasi asrama panti,","['Makanan', 'Fasilitas', 'Infrastruktur']","pengajian rutin, pelajaran tarjih dan kajian ","['Pendidikan', 'Keagamaan']",5.0,12,12.0,0.0,2,2,visi mewujudkan pelayanan panti sosial asuhan anak optimal sarana membentuk kepribadian anak percaya mandiri misi meningkatkan profesionalitas pengasihan mewujudkan suasana islami anak kader umat bangsa menciptakan sdm berkualitas menyantuni 30 anak yatim piatu yatim piatu dhuafa 20 anak penghuni panti asuhan 10 anak tinggal panti asuhan lingkungan keluarga jenjang pendidikan sd smp sma perguruan,bahan pangan tidur 20 buah lemari 20 buah alat musik hadroh marawis ntuk kegiatan esktra alat kebersihan sarana alat alat olahraga karpet mushola furnitur sekretariat panti asuhan biaya renovasi asrama panti,pengajian rutin pelajaran tarjih kajian,Panti Muhammadiyah Tanah Abang Sawangan visi mewujudkan pelayanan panti sosial asuhan anak optimal sarana membentuk kepribadian anak percaya mandiri misi meningkatkan profesionalitas pengasihan mewujudkan suasana islami anak kader umat bangsa menciptakan sdm berkualitas menyantuni 30 anak yatim piatu yatim piatu dhuafa 20 anak penghuni panti asuhan 10 anak tinggal panti asuhan lingkungan keluarga jenjang pendidikan sd smp sma perguruan bahan pangan tidur 20 buah lemari 20 buah alat musik hadroh marawis ntuk kegiatan esktra alat kebersihan sarana alat alat olahraga karpet mushola furnitur sekretariat panti asuhan biaya renovasi asrama panti pengajian rutin pelajaran tarjih kajian Makanan Fasilitas Infrastruktur
21,Panti Al Furqon Hidayatullah Kendal,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],18,14 May 2016,03 Mar 2023,Yayasan Al Furqon,"Jalan Soekarno Hatta Barat 396 D Langenharjo, RT.04/RW.05, Langenharjo, Kendal, Kabupaten Kendal, Jawa Tengah 51314","Yayasan sosial, pendidikan, dan dakwah","Asrama Anak Asuh, dipan/tempat tidur, perlengkapan sekolah, dll.","['Fasilitas', 'Kesehatan', 'Infrastruktur']",,"['Pendidikan', 'Keagamaan']",3.0,32,20.0,12.0,2,2,yayasan sosial pendidikan dakwah,asrama anak asuh dipan tidur perlengkapan sekolah dll,,Panti Al Furqon Hidayatullah Kendal yayasan sosial pendidikan dakwah asrama anak asuh dipan tidur perlengkapan sekolah dll  Fasilitas Kesehatan Infrastruktur
22,Panti Asuhan Al Kautsar Kebonbatur,Lembaga Kesejahteraan Sosial Anak,[''],3,14 May 2016,03 Mar 2023,"Habibar Rohman,SHI","Kadilangon RT 01 RW 08 Kebonbatur Mranggen, Kebonbatur, Mranggen, Kabupaten Demak, Jawa Tengah 59567",Panti Asuhan Anak Yatim Piatu Fakir Miskin dan Anak Terlantar,Biaya Operasional Permakanan Harian,[''],,[''],45.0,45,20.0,25.0,1,1,panti asuhan anak yatim piatu fakir miskin anak terlantar,biaya operasional permakanan harian,,Panti Asuhan Al Kautsar Kebonbatur panti asuhan anak yatim piatu fakir miskin anak terlantar biaya operasional permakanan harian  
23,Panti Asuhan Parakletos Eklesia,Lembaga Kesejahteraan Sosial Anak,[''],4,14 May 2016,03 Mar 2023,"Clemen Rudy Batlayar,  M.Th","Jl. Dr. Cipto No.94, Kepatihan, Kranggan, Ambarawa, Semarang, Jawa Tengah 50613","Visi kami : Care for the Children of Indonesia dan Motto Kami;  Be Happy,  Be Committed and Do Your Best.  Panti Asuhan Parakletos Eklesia melayani 29 anak didalam Panti dan 22 anak diluar Panti. ","29 kasur busa,  29 Bantal Guling, karena kasur dan bantal yg kami miliki sudah hampir rusak",[''],,[''],51.0,51,26.0,25.0,1,1,visi care for the children of indonesia motto be happy be committed and do your best panti asuhan parakletos eklesia melayani 29 anak didalam panti 22 anak diluar panti,29 kasur busa 29 bantal guling kasur bantal yg miliki rusak,,Panti Asuhan Parakletos Eklesia visi care for the children of indonesia motto be happy be committed and do your best panti asuhan parakletos eklesia melayani 29 anak didalam panti 22 anak diluar panti 29 kasur busa 29 bantal guling kasur bantal yg miliki rusak  
24,LKSA BAITURRAHMAN ,Lembaga Kesejahteraan Sosial Anak,[''],3,14 May 2016,03 Mar 2023,swasta ,"Jalan Potro Geneng, Gumul, Karangnongko, Kabupaten Klaten, Jawa Tengah 57483, Indonesia",panti asuhan di daerah terpencil klaten ,"dana operasional, sarana transportasi, alat sekolah, alat kantor (komputer, laptop, almari kantor, printer) ",[''],,[''],44.0,39,19.0,20.0,1,1,panti asuhan daerah terpencil klaten,dana operasional sarana transportasi alat sekolah alat kantor komputer laptop almari kantor printer,,LKSA BAITURRAHMAN  panti asuhan daerah terpencil klaten dana operasional sarana transportasi alat sekolah alat kantor komputer laptop almari kantor printer  
25,Panti Asuhan Riyaadlul Jannah Baiturrahman,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],32,16 May 2016,03 Mar 2023,Trusti Rahayu Herawati,"Jl. Jaten I, Pedurungan Tengah, Pedurungan, Kota Semarang, Jawa Tengah 50192",Pengasuhan anak,"10 unit komputer, 2 unit mobil operasional",['Fasilitas'],Tahfidz 30 juz,['Keagamaan'],15.0,58,32.0,26.0,1,1,pengasuhan anak,10 unit komputer 2 unit mobil operasional,tahfidz 30 juz,Panti Asuhan Riyaadlul Jannah Baiturrahman pengasuhan anak 10 unit komputer 2 unit mobil operasional tahfidz 30 juz Fasilitas
26,Panti Asuhan Seia Sekata Jakarta,Lembaga Kesejahteraan Sosial Anak,[''],1,22 May 2016,03 Mar 2023,Bu Yana - Pak Suwarniman Bin H. Bakri,"Jl Bekasi Raya KM 17, RT.4/RW.3, Kel. Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950
- Perempatan Lurus Masuk ke Gang Jl. Puskesmas","Panti asuhan daerah Kel. Jatinegara, Jakarta Timur","Pakaian, uang untuk operasional","['Makanan', 'Kesehatan']",,[''],5.0,50,16.0,34.0,1,1,panti asuhan daerah kel jatinegara jakarta timur,pakaian uang operasional,,Panti Asuhan Seia Sekata Jakarta panti asuhan daerah kel jatinegara jakarta timur pakaian uang operasional  Makanan Kesehatan
27,Panti Asuhan Yatim Piatu Al Amanah,Lembaga Kesejahteraan Sosial Anak,[''],0,24 May 2016,01 Mar 2023,Bapak H samuslim/ ibu H kokom darwulan,"Jl. Sukatani No. 15 RT 06 RW 003, Bedahan, Sawangan, Depok",panti asuhan anak-anak duahafa yang terlantar,"kebutuhan makanan yang dibutuhkan berupa beras, minyak, gula, garam,  susu, mie, telur, royco, untuk kebutuhan kesehatan yang dibutuhkan berupa kebutuhan untuk kebersihan tubuh dan lingkungan wipol, vixal, sabun, odol, sampo, detergen, pampers dan softex","['Makanan', 'Kesehatan']",program yang dijalankan berupa mendidik anak-anak yang berada dipanti dan memberikan perlindungan terhadap anak-anak,['Pendidikan'],10.0,80,45.0,35.0,1,1,panti asuhan anak anak duahafa terlantar,kebutuhan makanan dibutuhkan beras minyak gula garam susu mie telur royco kebutuhan kesehatan dibutuhkan kebutuhan kebersihan tubuh lingkungan wipol vixal sabun odol sampo detergen pampers softex,program dijalankan mendidik anak anak dipanti perlindungan anak anak,Panti Asuhan Yatim Piatu Al Amanah panti asuhan anak anak duahafa terlantar kebutuhan makanan dibutuhkan beras minyak gula garam susu mie telur royco kebutuhan kesehatan dibutuhkan kebutuhan kebersihan tubuh lingkungan wipol vixal sabun odol sampo detergen pampers softex program dijalankan mendidik anak anak dipanti perlindungan anak anak Makanan Kesehatan
28,Panti Fathul Khair,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],1,24 May 2016,02 Mar 2023,"Hj.Bariroh,S.Ag","Jl. Sumur Bandung 3, Harjamukti, Cimanggis, Kota Depok, Jawa Barat, Indonesia","panti asuhan anak yang berfokus pada anak yatim piatu, anak jalanan dan terlantar","uang SPP, seragam sekolah, sembako","['Makanan', 'Pendidikan']","Santunan Sembako dan kebutuhan sehari-hari
Pengajian anak-anak
Tahfizh
Pengajaran dan pembimbingan nilai-nilai Islam
Bantuan Pendidikan","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",10.0,75,45.0,30.0,3,3,panti asuhan anak berfokus anak yatim piatu anak jalanan terlantar,uang spp seragam sekolah sembako,santunan sembako kebutuhan sehari pengajian anak anak tahfizh pengajaran pembimbingan nilai nilai islam bantuan pendidikan,Panti Fathul Khair panti asuhan anak berfokus anak yatim piatu anak jalanan terlantar uang spp seragam sekolah sembako santunan sembako kebutuhan sehari pengajian anak anak tahfizh pengajaran pembimbingan nilai nilai islam bantuan pendidikan Makanan Pendidikan
29,Panti Asuhan Nurul Ikhlas Leuwinangging,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],4,24 May 2016,03 Mar 2023,Ahmad Junaedi,"Jl. Leuwinanggung, Leuwinanggung, Tapos, Kota Depok, Jawa Barat, Indonesia",Membantu pemerintah mengurus dan membina anak yatim dan dhuafa,Penambahan lokal tinggal anak/asrama putra,"['Makanan', 'Fasilitas']",,"['Pendidikan', 'Keterampilan']",123.0,38,30.0,8.0,2,2,membantu pemerintah mengurus membina anak yatim dhuafa,penambahan lokal tinggal anak asrama putra,,Panti Asuhan Nurul Ikhlas Leuwinangging membantu pemerintah mengurus membina anak yatim dhuafa penambahan lokal tinggal anak asrama putra  Makanan Fasilitas
30,Al Kamilah ,Lembaga Kesejahteraan Sosial Anak,[''],0,24 May 2016,01 Mar 2023,ust.badruddin,"Jl. Sumur Bandung 4 No.61, Harjamukti, Cimanggis, Kota Depok, Jawa Barat 16454, Indonesia",lembaga sosial dan dakwah,komputer ,[''],,[''],57.0,57,40.0,17.0,1,1,lembaga sosial dakwah,komputer,,Al Kamilah  lembaga sosial dakwah komputer  
31,Panti Daarul Mawa,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],22,24 May 2016,03 Mar 2023,Nur M. Sidik,"Jl. Agung Ujung No.1, Abadijaya, Sukmajaya, Kota Depok, Jawa Barat 16417, Indonesia","Yayasan ini didirikan sebagai bentuk kepedulian masyarakat setempat terhadap kewajiban memuliakan anak yatim. Kurangnya kesempatan yang dimiliki anak yatim inilah yang kiranya bisa diisi dengan adanya yayasan ini. Maka diharapkan, yayasan ini mampu mencetak kader yatim yang saleh, beriman, dan berprestasi, Aamiin.","Biaya pendidikan (SPP sekolah), peralatan sekolah, operasional anak, pengembangan minat dan bakat, pembangunan rumah yatim
rak buku, komputer","['Makanan', 'Kesehatan', 'Infrastruktur']","1. Santunan pendidikan dan kesehatan.
2. Pengajian rutin anak yatim/piatu setiap hari 
3. Pengajian orang tua yatim dan masyarakat.
4. Pengembangan minat dan bakat anak yatim.
5. Family Gathering ","['Pendidikan', 'Keagamaan', 'Keterampilan', 'Minat/Bakat', 'Pembinaan Masyarakat']",15.0,39,22.0,17.0,5,5,yayasan didirikan bentuk kepedulian masyarakat kewajiban memuliakan anak yatim kurangnya kesempatan dimiliki anak yatim diisi yayasan diharapkan yayasan mencetak kader yatim saleh beriman berprestasi aamiin,biaya pendidikan spp sekolah peralatan sekolah operasional anak pengembangan minat bakat pembangunan rumah yatim rak buku komputer,1 santunan pendidikan kesehatan 2 pengajian rutin anak yatim piatu 3 pengajian orang tua yatim masyarakat 4 pengembangan minat bakat anak yatim 5 family gathering,Panti Daarul Mawa yayasan didirikan bentuk kepedulian masyarakat kewajiban memuliakan anak yatim kurangnya kesempatan dimiliki anak yatim diisi yayasan diharapkan yayasan mencetak kader yatim saleh beriman berprestasi aamiin biaya pendidikan spp sekolah peralatan sekolah operasional anak pengembangan minat bakat pembangunan rumah yatim rak buku komputer 1 santunan pendidikan kesehatan 2 pengajian rutin anak yatim piatu 3 pengajian orang tua yatim masyarakat 4 pengembangan minat bakat anak yatim 5 family gathering Makanan Kesehatan Infrastruktur
32,Sirojul Quran,Lembaga Kesejahteraan Sosial Anak,[''],0,24 May 2016,03 Mar 2023,ustadz ujang sofyan mangsir,"Jl. Ciherang, Sukatani, Kec. Tapos, Kota Depok, Jawa Barat 16454, Indonesia",60 anak 10 pengurus,biaya operasional pendidikan dan logistik,[''],,[''],60.0,60,30.0,30.0,1,1,60 anak 10 pengurus,biaya operasional pendidikan logistik,,Sirojul Quran 60 anak 10 pengurus biaya operasional pendidikan logistik  
33,Panti Asuhan Raudlatul Ulum,Lembaga Kesejahteraan Sosial Anak,[''],0,24 May 2016,03 Mar 2023,H. Romli Thoyib,"Jl. H. Saenan No.12, Bedahan, Sawangan, Kota Depok, Jawa Barat 16519, Indonesia","membentuk generasi yg bertaqwa, kreatif dan inovatif",5 tempat tidur dan 2 kursi,[''],,[''],10.0,10,10.0,0.0,1,1,membentuk generasi yg bertaqwa kreatif inovatif,5 tidur 2 kursi,,Panti Asuhan Raudlatul Ulum membentuk generasi yg bertaqwa kreatif inovatif 5 tidur 2 kursi  
34,PSAA Arrahman(Yayasan Bina Yatama) ,Lembaga Kesejahteraan Sosial Anak,[''],0,25 May 2016,03 Mar 2023,H. Muhammad Abu Bakar,"Jl. Raya Citayam, Bojong Pd. Terong, Cipayung, Kota Depok, Jawa Barat, Indonesia",Membiyayai Pendidikan Anak Yatim Piatu & Dhuafa ,Dana & Perlengkapan Sekolah,[''],,[''],97.0,97,54.0,43.0,1,1,membiyayai pendidikan anak yatim piatu dhuafa,dana perlengkapan sekolah,,PSAA Arrahman(Yayasan Bina Yatama)  membiyayai pendidikan anak yatim piatu dhuafa dana perlengkapan sekolah  
35,PSAA Ar rahman (Yayasan Bina Yatama) ,Lembaga Kesejahteraan Sosial Anak,[''],0,25 May 2016,03 Mar 2023,H.  Muhammad Abu Bakar,"Jl. K.H.Abdurrahman, Pd. Jaya, Cipayung, Kota Depok, Jawa Barat, Indonesia",Membiayai Pendidikan Anak Yatim Piatu & Dhuafa,Membutuhkan Dana & Perlengkapan Sekolah,[''],,[''],98.0,98,55.0,43.0,1,1,membiayai pendidikan anak yatim piatu dhuafa,membutuhkan dana perlengkapan sekolah,,PSAA Ar rahman (Yayasan Bina Yatama)  membiayai pendidikan anak yatim piatu dhuafa membutuhkan dana perlengkapan sekolah  
